Country,ds,y_tst,yhat,level_1,adjustment_Forecasts_test,final_prediction
Tunisia,1957-01-01,,,,,
Turkey,1957-01-01,,,,,
Turkmenistan,1957-01-01,,,,,
Turks and Caicos Islands,1957-01-01,,,,,
United Arab Emirates,1957-01-01,,,,,
Uzbekistan,1957-01-01,,,,,
Vanuatu,1957-01-01,,,,,
Venezuela,1957-01-01,,,,,
Vietnam,1957-01-01,,,,,
Wallis and Futuna,1957-01-01,,,,,
Albania,1958-01-01,,,,,
Anguilla,1958-01-01,,,,,
Armenia,1958-01-01,,,,,
Azerbaijan,1958-01-01,,,,,
Bahamas,1958-01-01,,,,,
Bahrain,1958-01-01,,,,,
Belize,1958-01-01,,,,,
Bosnia and Herzegovina,1958-01-01,,,,,
Brazil,1958-01-01,,,,,
British Virgin Islands,1958-01-01,,,,,
Brunei,1958-01-01,,,,,
Cape Verde,1958-01-01,,,,,
Cayman Islands,1958-01-01,,,,,
Chile,1958-01-01,,,,,
China,1958-01-01,,,,,
Colombia,1958-01-01,,,,,
Cook Islands,1958-01-01,,,,,
Dominica,1958-01-01,,,,,
Dominican Republic,1958-01-01,,,,,
Ecuador,1958-01-01,,,,,
Falkland Islands,1958-01-01,,,,,
Fiji,1958-01-01,,,,,
French Guiana,1958-01-01,,,,,
French Polynesia,1958-01-01,,,,,
Georgia,1958-01-01,,,,,
Greenland,1958-01-01,,,,,
Grenada,1958-01-01,,,,,
Guadeloupe,1958-01-01,,,,,
Guam,1958-01-01,,,,,
Guyana,1958-01-01,,,,,
Jamaica,1958-01-01,,,,,
Jordan,1958-01-01,,,,,
Kazakhstan,1958-01-01,,,,,
Kosovo,1958-01-01,,,,,
Kuwait,1958-01-01,,,,,
Kyrgyzstan,1958-01-01,,,,,
Lebanon,1958-01-01,,,,,
Malaysia,1958-01-01,,,,,
Mauritius,1958-01-01,,,,,
Mayotte,1958-01-01,,,,,
Mexico,1958-01-01,,,,,
Micronesia (country),1958-01-01,,,,,
Moldova,1958-01-01,,,,,
Montserrat,1958-01-01,,,,,
New Caledonia,1958-01-01,,,,,
Niue,1958-01-01,,,,,
North Korea,1958-01-01,,,,,
North Macedonia,1958-01-01,,,,,
Palestine,1958-01-01,,,,,
Panama,1958-01-01,,,,,
Paraguay,1958-01-01,,,,,
Peru,1958-01-01,,,,,
Philippines,1958-01-01,,,,,
Qatar,1958-01-01,,,,,
Reunion,1958-01-01,,,,,
Russia,1958-01-01,,,,,
Saint Kitts and Nevis,1958-01-01,,,,,
Saint Lucia,1958-01-01,,,,,
Saint Vincent and the Grenadines,1958-01-01,,,,,
Samoa,1958-01-01,,,,,
Saudi Arabia,1958-01-01,,,,,
Seychelles,1958-01-01,,,,,
South Korea,1958-01-01,,,,,
Sri Lanka,1958-01-01,,,,,
Suriname,1958-01-01,,,,,
Syria,1958-01-01,,,,,
Thailand,1958-01-01,,,,,
Tokelau,1958-01-01,,,,,
Tonga,1958-01-01,,,,,
Trinidad and Tobago,1958-01-01,,,,,
Tunisia,1958-01-01,,,,,
Turkey,1958-01-01,,,,,
Turkmenistan,1958-01-01,,,,,
Turks and Caicos Islands,1958-01-01,,,,,
United Arab Emirates,1958-01-01,,,,,
Uzbekistan,1958-01-01,,,,,
Vanuatu,1958-01-01,,,,,
Venezuela,1958-01-01,,,,,
Vietnam,1958-01-01,,,,,
Wallis and Futuna,1958-01-01,,,,,
Albania,1959-01-01,,,,,
Anguilla,1959-01-01,,,,,
Armenia,1959-01-01,,,,,
Azerbaijan,1959-01-01,,,,,
Bahamas,1959-01-01,,,,,
Bahrain,1959-01-01,,,,,
Belize,1959-01-01,,,,,
Bosnia and Herzegovina,1959-01-01,,,,,
Brazil,1959-01-01,,,,,
British Virgin Islands,1959-01-01,,,,,
Brunei,1959-01-01,,,,,
Cape Verde,1959-01-01,,,,,
Cayman Islands,1959-01-01,,,,,
Chile,1959-01-01,,,,,
China,1959-01-01,,,,,
Colombia,1959-01-01,,,,,
Cook Islands,1959-01-01,,,,,
Dominica,1959-01-01,,,,,
Dominican Republic,1959-01-01,,,,,
